name,address,website,founders_names,founders_linkedin,batch,year,yc_url,per_company_api
Aisle50,"Chicago, IL, USA",http://aisle50.com,George Korsnick; Christopher Steiner,https://www.linkedin.com/in/georgekorsnick; https://www.linkedin.com/in/steinerchristopher/,Summer 2011,2011,https://www.ycombinator.com/companies/aisle50,https://yc-oss.github.io/api/batches/summer-2011/aisle50.json
Debteye,"Chicago, IL, USA",http://debteye.com,Paul Zhang; John Sun; Kevin Yu,https://www.linkedin.com/in/zhangyipeng/; https://www.linkedin.com/in/avantjohnsun/; https://www.linkedin.com/in/kevinyu1029,Summer 2011,2011,https://www.ycombinator.com/companies/debteye,https://yc-oss.github.io/api/batches/summer-2011/debteye.json
Proxino,"Palo Alto, CA, USA",http://proxino.com,Muzzammil (MZ) Zaveri; Ethan Fast,https://www.linkedin.com/in/mzaveri/; https://www.linkedin.com/in/ethanfast/,Summer 2011,2011,https://www.ycombinator.com/companies/proxino,https://yc-oss.github.io/api/batches/summer-2011/proxino.json
Streak,Remote,http://streak.com,Aleem Mawani; Founded: 2012 Batch: Summer 2011 Team Size: 35 Status: Active,https://www.linkedin.com/in/aleemmawani/; https://www.linkedin.com/company/streak-com,Summer 2011,2011,https://www.ycombinator.com/companies/streak,https://yc-oss.github.io/api/batches/summer-2011/streak.json
Science Exchange,"Palo Alto, CA, USA; Remote",https://www.scienceexchange.com/,Founded: 2011 Batch: Summer 2011 Team Size: 50 Status: Acquired Location: Palo Alto; Elizabeth Iorns; Dan Knox,https://www.linkedin.com/company/science-exchange; https://www.linkedin.com/in/elizabethiorns/; https://www.linkedin.com/in/djkn0x/,Summer 2011,2011,https://www.ycombinator.com/companies/science-exchange,https://yc-oss.github.io/api/batches/summer-2011/science-exchange.json
PhoneSys,"Mountain View, CA, USA",http://pingm.net,David Dolphin; Patrick O'Doherty,https://www.linkedin.com/in/david-dolphin/; https://www.linkedin.com/in/podoherty,Summer 2011,2011,https://www.ycombinator.com/companies/phonesys,https://yc-oss.github.io/api/batches/summer-2011/phonesys.json
Quartzy,"Hayward, CA, USA",https://www.quartzy.com,"Jayant Kulkarni; Adam Regelmann; Batch: Summer 2011 Team Size: 100 Status: Active Location: Hayward, CA",https://www.linkedin.com/in/jayantekulkarni/; https://www.linkedin.com/in/adam-r-7189a67/; https://www.linkedin.com/company/quartzy/,Summer 2011,2011,https://www.ycombinator.com/companies/quartzy,https://yc-oss.github.io/api/batches/summer-2011/quartzy.json
Codecademy,"New York, NY, USA",http://codecademy.com,Zach Sims,https://www.linkedin.com/in/zacharysims,Summer 2011,2011,https://www.ycombinator.com/companies/codecademy,https://yc-oss.github.io/api/batches/summer-2011/codecademy.json
Cryptoseal,"Mountain View, CA, USA",http://cryptoseal.com,Ryan Lackey; Erik Berls; Thomas Sparks,https://www.linkedin.com/in/ryanlackey; https://www.linkedin.com/in/berls; https://www.linkedin.com/in/tom-sparks-46562/,Summer 2011,2011,https://www.ycombinator.com/companies/cryptoseal,https://yc-oss.github.io/api/batches/summer-2011/cryptoseal.json
Segment,"San Francisco, CA, USA",http://segment.com,Calvin French-Owen; Ilya Volodarsky; Founded: 2011 Batch: Summer 2011 Team Size: 550 Status: Acquired Location: San Francisco,https://www.linkedin.com/in/calvinfo/; https://www.linkedin.com/in/ilyavolodarsky/; https://www.linkedin.com/company/segment-io/,Summer 2011,2011,https://www.ycombinator.com/companies/segment,https://yc-oss.github.io/api/batches/summer-2011/segment.json
Citus Data,"San Francisco, CA, USA; Istanbul, Istanbul, Turkey; Amsterdam, NH, Netherlands",http://citusdata.com,Batch: Summer 2011 Team Size: 45 Status: Acquired Location: San Francisco,https://www.linkedin.com/company/5356039/,Summer 2011,2011,https://www.ycombinator.com/companies/citus-data,https://yc-oss.github.io/api/batches/summer-2011/citus-data.json
